tanggal,jam,uniqueId,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-04-29,14:18:37,indynurmalasari7,104,pak dedi jadi presiden aja bisa gak😏😏,pak dedi jadi presiden aja bisa gak,pak dedi jadi presiden aja bisa gak,pak dedi jadi presiden saja bisa tidak,"['pak', 'dedi', 'jadi', 'presiden', 'saja', 'bisa', 'tidak']","['dedi', 'presiden']",dedi presiden
2025-04-29,04:43:44,under_thebluesky,103,Semangat tim puskesmas sosialisasi vasektomi dan lainnyaaa 🔥🔥,Semangat tim puskesmas sosialisasi vasektomi dan lainnyaaa ,semangat tim puskesmas sosialisasi vasektomi dan lainnyaaa ,semangat tim puskesmas sosialisasi vasektomi dan lainnyaaa,"['semangat', 'tim', 'puskesmas', 'sosialisasi', 'vasektomi', 'dan', 'lainnyaaa']","['semangat', 'tim', 'puskesmas', 'sosialisasi', 'vasektomi', 'lainnyaaa']",semangat tim puskesmas sosialisasi vasektomi lainnyaaa
2025-04-28,23:05:37,kodagpomak,99,ipar sy berpikiran kalo punya balita mendapatkan bantuan dr pemerintah jd dia beranak terus 🗿,ipar sy berpikiran kalo punya balita mendapatkan bantuan dr pemerintah jd dia beranak terus ,ipar sy berpikiran kalo punya balita mendapatkan bantuan dr pemerintah jd dia beranak terus ,ipar saya berpikiran kalau punya balita mendapatkan bantuan dari pemerintah jadi dia beranak terus,"['ipar', 'saya', 'berpikiran', 'kalau', 'punya', 'balita', 'mendapatkan', 'bantuan', 'dari', 'pemerintah', 'jadi', 'dia', 'beranak', 'terus']","['ipar', 'berpikiran', 'balita', 'bantuan', 'pemerintah', 'beranak']",ipar pikir balita bantu perintah anak
2025-04-29,06:14:20,pinkyflowerrs,91,"pak, mau jadi gubernur jatim gak? ☺️",pak mau jadi gubernur jatim gak ,pak mau jadi gubernur jatim gak ,pak mau jadi gubernur jatim tidak,"['pak', 'mau', 'jadi', 'gubernur', 'jatim', 'tidak']","['gubernur', 'jatim']",gubernur jatim
2025-05-01,02:06:50,rosettachenoweth,87,child free kayaknya enak,child free kayaknya enak,child free kayaknya enak,child free kayaknya enak,"['child', 'free', 'kayaknya', 'enak']","['child', 'free', 'kayaknya', 'enak']",child free kayak enak
2025-04-29,04:03:29,bundane3v,85,"saya kebobolan pertama krena kb suntik 1 bulan, kebobolan ke 2 krena lb iud, mau steril sma dokter gak boleh ini lgi rundingan sma pak su mau vasektomi😌",saya kebobolan pertama krena kb suntik  bulan kebobolan ke  krena lb iud mau steril sma dokter gak boleh ini lgi rundingan sma pak su mau vasektomi,saya kebobolan pertama krena kb suntik  bulan kebobolan ke  krena lb iud mau steril sma dokter gak boleh ini lgi rundingan sma pak su mau vasektomi,saya kebobolan pertama karena kb suntik bulan kebobolan ke karena lb iud mau steril sama dokter tidak boleh ini lagi rundingan sama pak su mau vasektomi,"['saya', 'kebobolan', 'pertama', 'karena', 'kb', 'suntik', 'bulan', 'kebobolan', 'ke', 'karena', 'lb', 'iud', 'mau', 'steril', 'sama', 'dokter', 'tidak', 'boleh', 'ini', 'lagi', 'rundingan', 'sama', 'pak', 'su', 'mau', 'vasektomi']","['kebobolan', 'kb', 'suntik', 'kebobolan', 'lb', 'iud', 'steril', 'dokter', 'rundingan', 'su', 'vasektomi']",bobol kb suntik bobol lb iud steril dokter runding su vasektomi
2025-04-28,18:57:21,sundanese061,78,"Nahh ini bener setuju, udah kesejahteraan kurang. Tapi produktif bnget anaknya nya 😭
kudu tegas penekanan nya sih ini.","Nahh ini bener setuju udah kesejahteraan kurang Tapi produktif bnget anaknya nya 
kudu tegas penekanan nya sih ini","nahh ini bener setuju udah kesejahteraan kurang tapi produktif bnget anaknya nya 
kudu tegas penekanan nya sih ini",nah ini benar setuju sudah kesejahteraan kurang tapi produktif banget anaknya ya kudu tegas penekanan ya sih ini,"['nah', 'ini', 'benar', 'setuju', 'sudah', 'kesejahteraan', 'kurang', 'tapi', 'produktif', 'banget', 'anaknya', 'ya', 'kudu', 'tegas', 'penekanan', 'ya', 'sih', 'ini']","['setuju', 'kesejahteraan', 'produktif', 'banget', 'anaknya', 'ya', 'kudu', 'penekanan', 'ya', 'sih']",tuju sejahtera produktif banget anak ya kudu tekan ya sih
2025-04-28,23:47:41,masgondrong497,77,"Singapura Kalau g salah Paksa Rakyat nya KB
Supaya mereka sadar Banyak anak juga banyak biaya
Nyatanya skrg Singapura maju","Singapura Kalau g salah Paksa Rakyat nya KB
Supaya mereka sadar Banyak anak juga banyak biaya
Nyatanya skrg Singapura maju","singapura kalau g salah paksa rakyat nya kb
supaya mereka sadar banyak anak juga banyak biaya
nyatanya skrg singapura maju",singapura kalau tidak salah paksa rakyat ya kb supaya mereka sadar banyak anak juga banyak biaya nyatanya sekarang singapura maju,"['singapura', 'kalau', 'tidak', 'salah', 'paksa', 'rakyat', 'ya', 'kb', 'supaya', 'mereka', 'sadar', 'banyak', 'anak', 'juga', 'banyak', 'biaya', 'nyatanya', 'sekarang', 'singapura', 'maju']","['singapura', 'salah', 'paksa', 'rakyat', 'ya', 'kb', 'sadar', 'anak', 'biaya', 'singapura', 'maju']",singapura salah paksa rakyat ya kb sadar anak biaya singapura maju
2025-04-29,08:13:51,fjkt_130820,67,tenang pak kami Gen Z akan hilangkan kalimat banyk ank banyk rejeki 😆 1 anak cukup😅😅,tenang pak kami Gen Z akan hilangkan kalimat banyk ank banyk rejeki   anak cukup,tenang pak kami gen z akan hilangkan kalimat banyk ank banyk rejeki   anak cukup,tenang pak kami gen saja akan hilangkan kalimat banyk anak banyk rejeki anak cukup,"['tenang', 'pak', 'kami', 'gen', 'saja', 'akan', 'hilangkan', 'kalimat', 'banyk', 'anak', 'banyk', 'rejeki', 'anak', 'cukup']","['tenang', 'gen', 'hilangkan', 'kalimat', 'banyk', 'anak', 'banyk', 'rejeki', 'anak']",tenang gen hilang kalimat banyk anak banyk rejeki anak
2025-04-29,02:19:10,abangjalul,17,pinter banget pak KDM ini.. pak tolong ajak gubernur Jatim juga pak biar kerja nyata .. 🙏,pinter banget pak KDM ini pak tolong ajak gubernur Jatim juga pak biar kerja nyata  ,pinter banget pak kdm ini pak tolong ajak gubernur jatim juga pak biar kerja nyata  ,pintar banget pak kdm ini pak tolong ajak gubernur jatim juga pak biar kerja nyata,"['pintar', 'banget', 'pak', 'kdm', 'ini', 'pak', 'tolong', 'ajak', 'gubernur', 'jatim', 'juga', 'pak', 'biar', 'kerja', 'nyata']","['pintar', 'banget', 'kdm', 'tolong', 'ajak', 'gubernur', 'jatim', 'biar', 'kerja', 'nyata']",pintar banget kdm tolong ajak gubernur jatim biar kerja nyata
